BuildingType,PrimaryPropertyType,YearBuilt,NumberofFloors,PropertyGFATotal,NumberofBuildings,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kWh),NaturalGas(therms),TotalGHGEmissions,ENERGYSTARScore
Multifamily LR (1-4),Low-Rise Multifamily,1962,3,24059,1.0,28.89999962,695955.8125,203973.0,0.0,4.85,65.0
Multifamily LR (1-4),Senior Care Community,1963,3,66402,1.0,68.5,9097980.0,886192.125,60742.91797,343.68,72.0
Multifamily LR (1-4),Low-Rise Multifamily,1988,4,76285,1.0,28.79999924,1742351.25,510653.9063,0.0,12.15,68.0
Multifamily LR (1-4),Low-Rise Multifamily,1990,3,46873,1.0,28.89999962,864004.625,253225.2031,0.0,6.02,90.0
Multifamily LR (1-4),Low-Rise Multifamily,1965,2,62900,5.0,31.89999962,1552051.25,109108.7969,11797.7207,65.25,100.0
Multifamily LR (1-4),Low-Rise Multifamily,1998,3,27160,1.0,29.39999962,681354.1875,199693.5,0.0,4.75,89.75
NonResidential,Worship Facility,1957,2,22220,1.0,35.0,778355.8125,60978.80078,5702.960938,31.74,90.0
SPS-District K-12,K-12 School,1955,1,46732,1.0,45.79999924,2331952.75,220895.0938,15782.58594,89.08,87.0
Multifamily MR (5-9),Mid-Rise Multifamily,2000,6,152693,1.0,22.20000076,4934559.0,1059638.75,13190.70996,95.26,100.0
Multifamily LR (1-4),Low-Rise Multifamily,1959,2,26211,1.0,54.29999924,1422814.375,85084.20313,11325.06934,62.17,68.0
Multifamily LR (1-4),Low-Rise Multifamily,1914,2,28260,1.0,83.09999847,2213115.5,364336.3125,9700.0,60.18,66.25
NonResidential,Mixed Use Property,1962,1,44700,1.0,42.70000076,2042771.0,495302.4063,3527.98999,30.52,70.75
NonResidential,Warehouse,1976,1,44100,1.0,40.5,1618916.375,474477.1875,0.0,11.29,1.0
NonResidential,Distribution Center,1965,1,27800,1.0,44.0,1224186.25,258090.5938,3435.809814,24.39,13.0
Multifamily HR (10+),High-Rise Multifamily,1910,11,321945,1.0,55.29999924,6856153.5,815006.875,23806.16016,276.63,31.0
NonResidential,Warehouse,2001,1,46340,1.0,55.29999924,2564004.0,751466.5,0.0,17.87,3.0
Campus,Other,1994,1,22800,3.0,97.5,2222097.5,104929.7969,18640.76953,101.5,52.25
Multifamily LR (1-4),Mixed Use Property,2005,4,37849,1.0,24.5,560334.5,164224.5938,0.0,3.91,78.75
NonResidential,Small- and Mid-Sized Office,1910,3,38460,1.0,50.70000076,1950713.25,429269.9063,4860.44043,36.02,69.0
Multifamily MR (5-9),Mid-Rise Multifamily,2003,6,86955,1.0,29.60000038,2822377.25,546528.375,9576.220703,63.86,90.0
Multifamily HR (10+),High-Rise Multifamily,2003,11,286408,1.0,32.40000153,6310254.0,1849332.25,3.320000172,44.01,78.0
Multifamily LR (1-4),Mixed Use Property,2002,4,93114,1.0,35.5,2255459.75,513800.9063,5023.709961,38.9,92.0
Multifamily LR (1-4),Low-Rise Multifamily,1992,4,21888,1.0,35.5,777682.0,160044.7969,2316.089844,16.11,76.625
Multifamily MR (5-9),Mid-Rise Multifamily,2002,7,66849,1.0,28.39999962,1898210.25,556333.5,0.0,13.23,72.125
NonResidential,Worship Facility,1922,2,21022,1.0,45.0,945245.625,40416.89844,8073.429688,43.84,54.0
Multifamily LR (1-4),Low-Rise Multifamily,1926,4,30240,1.0,27.0,679294.875,199089.9063,0.0,4.74,68.0
Multifamily MR (5-9),Mid-Rise Multifamily,1991,5,59440,1.0,50.5,2503690.0,506689.8125,7748.640137,53.21,51.0
Multifamily LR (1-4),Low-Rise Multifamily,1978,4,22445,0.0,21.70000076,456197.5938,133703.7969,0.0,3.18,80.125
Multifamily LR (1-4),Low-Rise Multifamily,1989,4,45878,1.0,21.0,964498.8125,282678.4063,0.0,6.72,27.0
Multifamily MR (5-9),Mid-Rise Multifamily,1995,5,37824,1.0,29.39999962,1112533.875,212693.0938,3868.25,25.6,88.0
Multifamily LR (1-4),Low-Rise Multifamily,1976,4,38765,1.0,41.40000153,1339220.625,192448.2969,0.0,4.58,92.0
SPS-District K-12,K-12 School,1954,2,51489,1.0,38.5,1984067.625,219894.9063,12337.8623,70.76,93.0
Multifamily LR (1-4),Low-Rise Multifamily,2002,4,26815,1.0,37.90000153,861007.8125,169737.2969,2818.639893,19.01,65.125
Multifamily MR (5-9),Mid-Rise Multifamily,2007,5,22529,1.0,29.70000076,668915.8125,87865.39844,3691.190186,21.69,82.125
Multifamily MR (5-9),Mid-Rise Multifamily,1991,8,148474,1.0,61.09999847,3936546.75,547794.375,20674.7207,122.83,64.0
NonResidential,Distribution Center,1967,1,48001,1.0,44.70000076,2143650.75,173968.2031,15500.71191,86.46,49.0
NonResidential,Warehouse,1979,1,26380,1.0,19.29999924,509124.0,149008.2031,7.080909729,3.58,85.125
NonResidential,Warehouse,1969,1,37351,1.0,65.40000153,2559461.75,374109.5,12829.99902,77.04,10.0
NonResidential,Warehouse,1981,1,30375,1.0,11.39999962,345866.6875,101367.7031,0.0,2.41,73.0
NonResidential,Warehouse,1979,1,30004,1.0,12.60000038,369291.5,108233.1016,0.0,2.57,89.25
Multifamily LR (1-4),Low-Rise Multifamily,1990,3,32235,1.0,27.10000038,596155.625,174723.2031,0.0,4.16,72.0
Multifamily HR (10+),High-Rise Multifamily,2004,13,120405,1.0,31.60000038,3366510.0,861340.5,4276.160156,43.2,76.375
NonResidential,Other,1928,3,39971,1.0,274.2000122,10960107.0,1054630.0,73617.08594,416.07,59.125
Multifamily LR (1-4),Low-Rise Multifamily,1988,4,23976,1.0,26.5,635951.8125,186386.7969,0.0,4.43,80.0
NonResidential,Worship Facility,1914,2,33589,1.0,15.19999981,509836.1875,32715.80078,3982.099854,21.93,90.0
Multifamily MR (5-9),Mid-Rise Multifamily,2004,6,169149,1.0,31.10000038,4606967.5,1157502.0,6575.700684,62.46,84.0
Multifamily MR (5-9),Mid-Rise Multifamily,1992,5,25368,1.0,30.39999962,770082.125,158101.0938,2306.410156,16.01,72.0
NonResidential,Small- and Mid-Sized Office,1979,3,43500,1.0,74.0,3220635.25,942671.6875,42.38998795,22.65,46.0
NonResidential,Small- and Mid-Sized Office,1978,2,28492,1.0,66.59999847,1896298.875,399753.0,5323.416504,37.78,12.0
NonResidential,Small- and Mid-Sized Office,1963,3,22325,1.0,62.79999924,1401315.875,410702.0938,0.0,9.77,64.75
NonResidential,Restaurant,1977,3,22719,1.0,59.79999924,1358519.0,398159.0938,0.0,9.47,75.5
Multifamily HR (10+),High-Rise Multifamily,1928,14,50141,1.0,91.59999847,3077371.0,210606.2969,23587.82031,130.28,82.0
NonResidential,Laboratory,1946,2,44588,1.0,105.0999985,7251589.0,2125318.75,0.0,50.55,58.25
Multifamily MR (5-9),Mid-Rise Multifamily,1993,6,140049,1.0,38.59999847,3986982.75,621469.375,18665.28906,113.91,57.375
Multifamily MR (5-9),Mid-Rise Multifamily,1925,5,58954,1.0,43.59999847,2569106.5,188487.2031,19259.88086,106.77,85.0
Multifamily MR (5-9),Mid-Rise Multifamily,1916,5,37992,1.0,29.70000076,1128311.125,187486.2031,4886.07959,30.41,98.0
Multifamily MR (5-9),Mid-Rise Multifamily,2003,5,62876,1.0,18.70000076,967432.8125,283538.3125,0.0,6.74,64.75
Multifamily LR (1-4),Low-Rise Multifamily,2006,4,40562,1.0,33.59999847,1256575.875,243106.2969,4270.970215,28.47,66.625
Multifamily MR (5-9),Mid-Rise Multifamily,1910,5,40489,1.0,39.59999847,1603017.5,118737.0,11978.86914,66.44,98.0
Multifamily LR (1-4),Low-Rise Multifamily,1925,3,34800,1.0,30.70000076,874707.0,256361.9063,0.0,6.1,55.0
Multifamily LR (1-4),Low-Rise Multifamily,1928,3,28058,1.0,31.20000076,753721.125,136106.4063,2893.26001,18.6,77.25
Multifamily HR (10+),High-Rise Multifamily,2003,13,106066,1.0,39.90000153,4988493.5,759641.0,23965.98047,145.35,61.0
Multifamily MR (5-9),Mid-Rise Multifamily,1925,9,86560,1.0,51.79999924,3229864.5,905159.8125,1414.589966,29.04,53.0
Multifamily HR (10+),High-Rise Multifamily,1978,13,91600,1.0,53.09999847,4206839.5,1232953.875,0.0,29.33,18.0
